Name	Formula	Mass	Frequency [meV]	Reference_Alpha	Reference_ZPR
mp-1000	BaTe	0.38645991228099996	0.05187	1.726851	-29.124171
mp-1002124	HfC	0.637516014916	0.021875	0.139134	-11.117524
mp-1002164	GeC	0.35090695587599996	0.020188	0.291462	-28.083588
mp-10044	BAs	0.32619404595600004	0.02024	0.008339	-0.717847
mp-1008223	CaSe	0.301175952025	0.035734	1.317878	-42.482682
mp-1008506	BaGaSiH	0.46344098522499994	0.100015	0.162606	-7.755426
mp-1008556	AlGaN2	0.250661436921	0.072406	0.619312	-59.854204
mp-1008559	BP	0.347400611649	0.070132	0.013762	-1.384844
mp-10086	YSF	0.40758775747600007	0.175198	1.307943	-59.410186
mp-1008680	TiGePt	0.5737911001	0.070924	0.201012	-6.370733
mp-1008786	MgTe	0.22361171137600003	0.039746	0.809846	-24.941314
mp-1009009	LiF	0.888747394756	0.00746	7.65369	-543.144259
mp-1009082	MgSnAs2	0.048724381696	0.302394	0.055042	-1.627153
mp-1009084	BeSnAs2	0.32789824537600004	0.263934	0.116269	-3.267452
mp-1009085	BeSiP2	0.350667677584	0.193897	0.107357	-6.79432
mp-1009087	BeSiAs2	0.3575609452960001	0.227245	0.078071	-4.010764
mp-1009088	BeGeAs2	0.297211419241	0.245531	0.070926	-2.380746
mp-1009127	MgO	0.274761527329	0.039012	2.245306	-166.619483
mp-1009129	MgO	0.30471283206400007	0.026442	1.900708	-152.256793
mp-1009220	NaH	0.527475375625	0.024763	2.301784	-241.072974
mp-1009733	Ca2Si	0.369349123081	0.072395	0.381083	-13.118159
mp-1009750	ScN	1.0539486244000003	0.022336	1.129883	-98.650304
mp-1009792	RuC	0.9308351808040001	0.02113	0.120625	-10.688552
mp-1009813	SiSn	0.166726039041	0.028551	0.003816	-0.163942
mp-1009819	SrO	0.983486740681	0.041585	3.946675	-220.124549
mp-1009820	SnC	0.07715117312099999	0.022172	0.09063	-7.179436
mp-1011695	Cs2Se	0.32323432036899996	0.122898	2.607603	-39.679391
mp-1014244	ZrZnN2	2.0166470875690004	0.096726	1.856111	-133.797015
mp-10159	K3Sb	0.11668031222500001	0.16304	1.10056	-13.546005
mp-10163	NaAlTe2	0.28126475833600006	0.350591	1.082914	-22.096639
mp-10167	Na3SbS4	0.7557068305960001	0.309588	3.475439	-77.234039
mp-1018040	MgSe	0.185692908241	0.126096	0.708408	-29.24784
