Name	Formula	Mass	Frequency [meV]	Alpha	Reference_Alpha	ZPR	Reference_ZPR	Error
mp-2472	SrO	0.5367027600000001	57.0343	2.360805647793696	2.3608	-139.1508593378797	-134.6461	3.3456292739854363
mp-22903	RbI	0.32194276	12.4215	3.0194662647183086	3.0195	-39.186473043452395	-37.5068	4.478316047896373
mp-463	KF	0.5377288899999999	39.0356	4.565788172157438	4.566	-191.95353331108612	-178.2383	7.694885617224865
mp-22922	AgCl	0.25341156	21.6076	1.2630381673709088	1.2629	-27.74727407185468	-27.289	1.6793362594989851
mp-22916	NaBr	0.30658368999999996	25.2334	2.4085491045646545	2.4085	-62.85660428730777	-60.7743	3.426290861939621
mp-2176	ZnTe	0.08219689000000001	25.2664	0.13966340016454734	0.1397	-3.534921746038056	-3.5291	0.16496404290203884
mp-1784	CsF	0.40056241000000004	28.9224	4.291864918047057	4.2921	-132.89249422257646	-124.1367	7.053348625004897
mp-1138	LiF	0.8915136400000001	79.4883	4.603922838581601	4.6039	-394.47874506263037	-365.9542	7.794566932864918
mp-406	CdTe	0.053824000000000004	19.718	0.1093503928220397	0.1094	-2.159099482764695	-2.1566	0.11589922863280801
mp-1672	CaS	0.44302336	42.7227	1.2577537476075948	1.2578	-54.628536733933124	-53.7346	1.6636147546145765
mp-1550	AlP	0.33616804	60.6276	0.21035426718214556	0.2103	-12.786764351746971	-12.7519	0.27340515332594967
mp-1479	BP	0.34774609	101.2537	0.009523042243405512	0.0095	-0.9643571773871834	-0.9645	-0.014807943267663833
mp-1315	MgS	0.34762816	49.214	1.106009100226018	1.1061	-55.220402793927015	-54.4352	1.442454136160082
mp-1000	BaTe	0.38651089000000005	16.8655	1.4153126269437202	1.4152	-24.32095699079011	-23.8686	1.8951969985257104
mp-682	NaF	0.55965361	49.796	4.179045004203044	4.1793	-222.2588099622591	-208.1126	6.797382744850203
mp-1500	BaS	0.45077796	30.7882	1.830337264925997	1.8303	-57.76502878813988	-56.3519	2.507686143927497
mp-1415	CaSe	0.41692849000000004	32.3085	1.1612528058296254	1.1612	-38.09136104192046	-37.5161	1.5333711177879783
mp-1265	MgO	0.34398225000000004	86.0806	1.5731297232806802	1.5731	-138.2868889042578	-135.4125	2.1226909659431836
mp-1190	ZnSe	0.09138529000000001	30.3558	0.21739386928238688	0.2174	-6.6170805980487994	-6.5982	0.2861477076899633
mp-422	BeS	0.37859408999999994	83.0083	0.3752785181858715	0.3753	-31.29843570066103	-31.1506	0.4745837982608047
mp-252	BeTe	0.386884	62.2394	0.14590581990442297	0.1459	-9.097577146994173	-9.0807	0.1858573347227903
mp-2490	GaP	0.34880836000000004	48.1309	0.1368431026378826	0.1368	-6.597591280017361	-6.5858	0.17904096719245896
mp-1958	SrTe	0.3751562500000001	20.1441	1.1783371731409467	1.1783	-24.10477211732882	-23.7357	1.5549240904157855
mp-1541	BeSe	0.36288576000000006	71.0819	0.2849445732638649	0.2849	-20.32672925243366	-20.2539	0.3595813765924423
