Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume
mp-1000	1.4153126269437202	297.5040009260213	0.6217	6.311555304676414	12.773453841404539	84.0743546603
mp-1002124	0.11558332188699523	597.0023661175726	0.7984	24.137742711424348	32.96559329678219	31.2332448856
mp-1002164	0.23765126034825423	428.02101310078683	0.5924	8.111020881077835	11.169464314194972	23.8031409075
mp-10044	0.006832421972670698	18677.788333294895	0.5711	10.032167864916383	10.128936155960778	27.1123214492
mp-1008223	1.0700857696266954	283.19252164193404	0.5488	3.9792006781338127	6.394042651457421	68.6599183215
mp-1008506	0.1166284455627212	857.7952198030395	0.6808	18.22838803221069	23.362994047357507	79.9809816704
mp-1008556	0.5025398693723622	264.19187841624586	0.5007	5.189261297578154	9.31904146295098	43.6980742036
mp-1008559	0.010922856083947375	9388.997571581682	0.5894	9.326162586788504	9.466799526290872	46.1947697898
mp-10086	1.149810221645995	134.27402378321509	0.6384	5.981005653242649	15.66687448658128	94.4423122395
mp-1008680	0.16332838597280436	1160.190259463548	0.7575	19.183229267187485	23.997045540371246	51.8528951833
mp-1008786	0.6595989208472048	699.7594042086586	0.4729	9.136444248134904	23.20621949331387	51.5450493454
mp-1009082	0.03986918758628312	56425.82493883669	0.2207	15.70656840963636	18.193198034778796	220.495975595
mp-1009084	0.0932433743143323	3185.261340586322	0.5726	14.133937144669186	16.015995660006098	175.450951935
mp-1009085	0.08918141190270057	1696.6592506219413	0.5922	9.725563218954242	10.836914801672753	131.815571075
mp-1009087	0.06634929829254568	2729.211956467378	0.598	10.97551507529513	11.895113389361287	149.955768789
mp-1009088	0.05816513582272727	5090.71948730717	0.5452	13.200290909654331	14.294543720562368	156.686712782
mp-1009127	1.8077717995444893	69.09196259449106	0.5242	3.7494171901126077	83.19721563564346	18.2566544807
mp-1009129	1.5369118571383014	71.41396716589168	0.552	3.4586848220154995	13.323834457422654	19.4659993157
mp-1009220	1.9222386857383944	23.437348775806367	0.7263	3.4954096377045403	18.558188550638903	25.3965034293
mp-1009733	0.3110938117857253	857.0141689526401	0.6077	14.029135215494927	21.963121702916588	89.061666852
mp-1009750	0.9402470656989685	34.91560742258486	1.0266	6.707762463482236	13.208104693346499	28.3526448248
mp-1009792	0.0967323043584517	442.0284618912084	0.9648	37.59070401112085	54.02173484887768	22.9742290803
mp-1009813	0.0032602989257794917	153401.13162128336	0.4083	24.525736098834564	24.798632899204737	53.9907994386
mp-1009819	3.2037807236268536	10.808240154643153	0.9917	4.5252160201196805	70.71283710372882	29.1454556971
mp-1009820	0.07316126625939161	7917.327484537834	0.2778	12.089474267304322	15.969080835910473	32.0765160044
mp-1011695	2.1157098276474464	228.9056225838634	0.5685	3.68170987688671	6.795583598408308	142.187424036
mp-1014244	1.4165996643906558	12.191237216820223	1.4201	8.935347377738477	32.09168991334524	48.2777315124
mp-10159	0.8786236433886048	2358.583210290875	0.3416	7.643536630519399	18.99223567017201	147.608628088
mp-10163	0.7230388094146526	574.2648118259146	0.5303	7.99494108071267	15.427855592154055	223.900469732
mp-10167	2.3309523961106464	44.427119110799325	0.8693	5.100563251431977	13.910402176913033	179.944843478
mp-1018040	0.5747540918628665	733.7959350664155	0.4309	4.753278240681433	7.307609357023586	104.670974202
mp-1018096	2.2368324263211896	40.97470034249965	0.7526	5.431234850160834	167.2811841365638	89.9684328065
mp-1018100	0.06520312422895475	7409.953204893578	0.4249	11.800543218266002	13.09626541747825	116.647044123
mp-10182	0.3146758190629086	704.6489415043618	0.5762	10.545504010109443	15.858015709786082	45.5166132097
mp-1020019	1.5217494463882728	26.941393330906518	0.7704	2.999819015028144	6.49616528698696	114.305407477
mp-1020059	0.580019626875629	196.14301160324598	0.5494	5.2261729862871285	9.66643256826865	133.00684314
mp-10219	2.263178655871699	28.773006568076795	0.7269	3.4321065129495194	14.229927574276664	78.606268775
mp-1022	1.9933677695185856	121.59612833273538	0.594	3.162487901453954	6.162422592880103	98.6664321834
mp-10223	1.5257485361715117	55.846115071688686	1.0267	6.464905158696169	11.32483173399213	197.363841665
mp-10226	1.5235711361932618	73.94417824099698	0.7695	5.388332280804338	13.00098428159363	88.3668467583
mp-10246	1.5653808880762292	69.10070149684024	0.9294	6.1319586233683	11.193015081747768	198.673276382
mp-10250	3.8000382005924993	14.915487753327074	0.7588	2.665381384040416	14.770475588026212	62.2358686838
mp-10281	0.38540452896492433	1222.062426502502	0.4111	6.1239505653966	8.994021271804227	153.611270597
mp-10289	0.15702297780386842	372.5500092004891	0.7218	16.62733218103429	24.46273447939653	103.644494098
mp-1029	3.696538511036375	22.957459381905363	0.6948	2.3975901031723645	8.170428075296527	58.2404389905
mp-10322	0.9290939992487582	125.17775703443503	0.6381	7.435397977330667	29.529916744995237	140.494785616
mp-10341	1.7089516010934491	45.1637106940017	0.6874	3.53743001734184	9.765850740711931	121.993411246
mp-10378	1.156393552046359	1644.89102136528	0.3982	8.16336502296241	21.92430853693818	183.716443959
mp-10408	2.6428396925434696	16.67117233853683	0.8456	2.7449451451777676	6.877145644086049	88.0046978549
mp-10417	1.8700582043807643	33.08298154693922	0.83	3.875651267004376	9.673994042915742	148.583385057
mp-10418	2.8501413944769753	9.506033062288726	1.1649	3.674932393457977	9.100405604217341	166.129498141
mp-10485	0.8283349257397987	455.8219769564835	0.6413	10.669573931490335	23.42316183430171	184.940045511
mp-10492	3.9195754859892484	15.054054150874558	0.729	1.945891731228451	5.516173504019289	149.053525993
mp-10547	1.4532789435440243	128.53042736652193	0.6535	3.9692562708947565	7.057315974825275	282.392766232
mp-10550	0.6893753763072246	369.6219277536735	0.4404	6.110422868122599	17.981504002296344	71.1552205319
mp-10572	1.4662148522488556	18.252161709389846	0.9482	4.035244259949656	9.559212937940028	86.5068166902
mp-10614	1.281069225264043	68.0445096811208	0.9661	8.141062246440976	18.67409363873267	65.3851172044
mp-10615	0.5615972573392322	795.253814153692	0.4672	9.096959912643786	21.469888714974427	73.5908035927
mp-10616	0.5228781202179688	1552.7994060484243	0.4083	9.507820039539148	20.758797580836127	78.8599348818
mp-10627	2.2943374695684775	39.4008891825658	0.8777	5.965517056861269	25.771366956162247	46.7916683571
mp-10653	1.4483353454101031	293.3586533910734	0.5989	7.910118252038935	25.834709049736556	64.6732686105
mp-10680	2.413948338837879	56.107730650794515	0.9041	7.254262514250168	28.689462757244932	60.4905238428
mp-10694	14.51826586130139	0.005988951134021597	3.3089	2.243400631416761	8.270348822053492	64.8228323964
mp-10695	0.3819140760432478	1249.2068451270845	0.4087	6.184230819618097	9.10918714713613	38.3919416549
mp-1070	0.19900891742773397	13106.496943354496	0.2322	7.998329004693289	11.246883218471618	112.607588378
mp-10748	0.1132121077879189	414.4161747441792	1.221	6.539901296966635	6.7901482152877835	159.970269539
mp-10760	0.9351884216011002	292.1458034930431	0.5401	6.756853926468502	17.66248585756485	40.487559541
mp-10776	1.1638432724138246	136.40268627633	0.7309	6.092997057391889	11.570217644084321	278.347366218
mp-1087	1.5475459620945367	112.03702979148375	0.6625	4.853013561401057	11.467281359831654	53.1517306532
