Name	Frequency [meV]	ZPR	Reference_Alpha	Reference_ZPR
mp-1000	-16.86547999798477	-29.808365897538543	1.726851	-29.124171
mp-1002124	-79.90515618037287	-11.136764260496362	0.139134	-11.117524
mp-1002164	-96.35420054758424	-28.186202055527186	0.291462	-28.083588
mp-10044	-86.08310348962706	-0.7179213029200887	0.008339	-0.717847
mp-1008223	-32.23567128368483	-43.22579996970639	1.317878	-42.482682
mp-1008506	-353.52280340786257	-7.768119655745595	0.162606	-7.755427
mp-1008556	-340.28293804068625	-60.535483777977085	0.61931	-59.854204
mp-1008559	-200.04694135601238	-1.3850755863471622	0.013762	-1.384843
mp-10086	-310.4281663140814	-60.97510319756735	1.3079420000000002	-59.410185999999996
mp-1008680	-58.66350120402574	-6.388012686593491	0.20101200000000002	-6.3707329999999995
mp-1008786	-30.797601025380136	-25.20173043328189	0.809846	-24.941314
mp-1009009	-70.96501935667632	-647.5213949510237	7.65369	-543.144259
mp-1009082	-228.262671068661	-1.6287233734728004	0.05504	-1.6271520000000002
mp-1009084	-316.78949394699947	-3.271602474584883	0.11626799999999998	-3.2674520000000005
mp-1009085	-612.992479458969	-6.805536053307448	0.10735600000000001	-6.794321
mp-1009087	-414.78064988603427	-4.015555929311337	0.078069	-4.010765
mp-1009088	-433.96745778433046	-2.382666693553615	0.07092500000000002	-2.380746
mp-1009127	-74.20791776265686	-171.8798336039592	2.245306	-166.619483
mp-1009129	-121.36952735279507	-157.7238228153656	1.9007079999999998	-152.256793
mp-1009220	-104.73310006499305	-248.90449291827173	2.301784	-241.072974
mp-1009733	-57.4233734471846	-13.193950243772086	0.38108299999999995	-13.118159
mp-1009750	-87.31019406434119	-100.11365525027499	1.129883	-98.650304
mp-1009792	-88.60975751295337	-10.704574397426073	0.120625	-10.688552
mp-1009813	-42.96174004192872	-0.16394980914473775	0.003816	-0.163942
mp-1009819	-55.7746834994014	-233.9879293029826	3.946675	-220.124549
mp-1009820	-79.21699216594946	-7.1875103388488775	0.09063	-7.179436
mp-1011695	-35.36966656644588	-42.66056797511956	2.607604	-39.679392
mp-1014244	-315.9920234853531	-138.6720789122083	1.8561100000000001	-133.797014
mp-10159	-60.043465040585936	-13.704419429593594	1.10056	-13.546004
mp-10163	-213.69688339610468	-22.524448958206214	1.082913	-22.096638000000002
mp-10167	-331.14429210897464	-82.12831994752398	3.47544	-77.234042
mp-1018040	-141.5362545651182	-29.726945168379622	0.708408	-29.24784
mp-1018096	-155.0477950546768	-132.90350514279032	3.102822	-120.737514
mp-1018100	-84.26567371286546	-2.9801301562648144	0.07329	-2.976225
mp-10182	-84.58164710810189	-17.619225383272816	0.399057	-17.527563
mp-1020019	-2213.9028843515016	-205.83817685992284	2.0470429999999995	-197.56647999999998
mp-1020059	-1718.735789592947	-67.742685560667	0.7563139999999999	-66.720544
mp-10219	-531.8684628919505	-193.24571520201178	3.019243	-180.07989400000002
mp-1022	-77.40847081370538	-74.36515742192869	2.4586710000000003	-70.383303
mp-10223	-633.9747136739314	-46.81326546151646	1.8726199999999997	-45.592632
mp-10226	-195.66939502821242	-75.82479160688594	1.876502	-73.071335
mp-10246	-635.3515821957901	-44.767677306130345	1.9287260000000002	-43.656980000000004
mp-10250	-225.65657727426174	-270.5883228734614	5.057729	-231.68750699999998
mp-10281	-240.36296033555894	-20.06221633795472	0.47198799999999996	-19.828995
mp-10289	-702.6204399932144	-18.152460080932133	0.216002	-18.105953999999997
