Name	Frequency [meV]	ZPR [meV]	Reference_Alpha	Reference_ZPR [meV]
mp-1000	16.865479799086604	-29.808366	1.726851	-29.124171
mp-1002124	79.9051566490694	-11.136764	0.139134	-11.117524
mp-1002164	96.35419974241863	-28.186202	0.291462	-28.083588
mp-10044	86.08310481517674	-0.717921	0.008339	-0.717847
mp-1008223	32.23567250172557	-43.2258	1.317878	-42.482682
mp-1008506	353.5228027477462	-7.76812	0.162606	-7.755427
mp-1008556	340.2829368563282	-60.535484	0.61931	-59.854204
mp-1008559	200.04693947102405	-1.385076	0.013762	-1.384843
mp-10086	310.42816700513794	-60.975103	1.307942	-59.410186
mp-1008680	58.66350168205296	-6.388013	0.201012	-6.370733
mp-1008786	30.797602338003585	-25.20173	0.809846	-24.941314
mp-1009009	70.9650181481014	-647.521395	7.65369	-543.144259
mp-1009082	228.26267062731264	-1.628723	0.05504	-1.627152
mp-1009084	316.7894947168896	-3.271602	0.116268	-3.267452
mp-1009085	612.9924776517188	-6.805536	0.107356	-6.794321
mp-1009087	414.78064877877836	-4.015556	0.078069	-4.010765
mp-1009088	433.9674569663177	-2.382667	0.070925	-2.380746
mp-1009127	74.20791756683384	-171.879834	2.245306	-166.619483
mp-1009129	121.36952544338327	-157.723823	1.900708	-152.256793
mp-1009220	104.7330994801485	-248.904493	2.301784	-241.072974
mp-1009733	57.4233727423364	-13.19395	0.381083	-13.118159
mp-1009750	87.3101940014503	-100.113655	1.129883	-98.650304
mp-1009792	88.60975659062115	-10.704574	0.120625	-10.688552
mp-1009813	42.961740266192926	-0.16395	0.003816	-0.163942
mp-1009819	55.774685539733376	-233.987929	3.946675	-220.124549
mp-1009820	79.21699017478804	-7.18751	0.09063	-7.179436
mp-1011695	35.36966743983174	-42.660568	2.607604	-39.679392
mp-1014244	315.9920226024247	-138.672079	1.85611	-133.797014
mp-10159	60.0434657449585	-13.704419	1.10056	-13.546004
mp-10163	213.69688141458116	-22.524449	1.082913	-22.096638
mp-10167	331.144290545176	-82.12832	3.47544	-77.234042
mp-1018040	141.53625476628554	-29.726945	0.708408	-29.24784
mp-1018096	155.04779666259552	-132.903505	3.102822	-120.737514
mp-1018100	84.26567418727035	-2.98013	0.07329	-2.976225
mp-10182	84.58164730574559	-17.619225	0.399057	-17.527563
mp-1020019	2213.902883858003	-205.838177	2.047043	-197.56648
mp-1020059	1718.7357903531083	-67.742686	0.756314	-66.720544
mp-10219	531.8684617907975	-193.245715	3.019243	-180.079894
mp-1022	77.40847190611721	-74.365157	2.458671	-70.383303
mp-10223	633.9747147264995	-46.813265	1.87262	-45.592632
mp-10226	195.66939539780094	-75.824792	1.876502	-73.071335
mp-10246	635.3515811759166	-44.767677	1.928726	-43.65698
mp-10250	225.6565768525385	-270.588323	5.057729	-231.687507
mp-10281	240.36296215091807	-20.062216	0.471988	-19.828995
mp-10289	702.6204392335931	-18.15246	0.216002	-18.105954
mp-1029	127.99684675557687	-213.557136	4.578056	-191.100948
mp-10322	512.0785743117667	-57.301663	1.246679	-56.229388
mp-10341	988.3853249310688	-141.177276	2.360102	-136.048057
mp-10378	33.93732517288063	-13.695401	1.464184	-13.33372
mp-10381	261.83810852290924	-23.134178	1.541872	-22.658956
mp-10408	758.0239694695706	-171.959851	4.494341	-165.691211
