Name	ZPR_multi	ZPR_single	α_multi	α_single	Error
mp-1000	-29.808366	-24.32095699079011	1.726851	1.4153126269437202	22.562471580735373
mp-1002124	-11.136764	-9.248913200421836	0.139134	0.11558332188699523	20.411596029380625
mp-1002164	-28.186202	-22.96675167144133	0.291462	0.23765126034825423	22.726114703669428
mp-10044	-0.717921	-0.5882244438052036	0.008339	0.006832421972670698	22.048821255334776
mp-1008223	-43.2258	-34.9779108904153	1.317878	1.0700857696266954	23.58027938096439
mp-1008506	-7.76812	-8.85087563594733	0.162606	0.1166284455627212	-12.233316572088983
mp-1008556	-60.535484	-49.81316957029328	0.61931	0.5025398693723622	21.52505958203692
mp-1008559	-1.385076	-1.0980486550017527	0.013762	0.010922856083947375	26.13976563705085
mp-10086	-60.975103	-53.7851422266737	1.307942	1.149810221645995	13.367931134261418
mp-1008680	-6.388013	-5.237532072506253	0.201012	0.16332838597280436	21.96608844713424
mp-1008786	-25.20173	-20.48538908832561	0.809846	0.6595989208472048	23.02295011990853
mp-1009082	-1.628723	-1.294756900652605	0.05504	0.03986918758628312	25.793730018280947
mp-1009084	-3.271602	-3.3785227561517206	0.116268	0.0932433743143323	-3.1647191352207353
mp-1009085	-6.805536	-5.939867537029892	0.107356	0.08918141190270057	14.573868147284772
mp-1009087	-4.015556	-3.6339981084704767	0.078069	0.06634929829254568	10.499672265655592
mp-1009088	-2.382667	-2.3457793920133314	0.070925	0.05816513582272727	1.5725096789689523
mp-1009127	-171.879834	-137.46674358657592	2.245306	1.8077717995444893	25.033756904084125
mp-1009129	-157.723823	-126.15495879912494	1.900708	1.5369118571383014	25.02387896708983
mp-1009220	-248.904493	-206.65128476915345	2.301784	1.9222386857383944	20.44662256905244
mp-1009733	-13.19395	-10.750714390935721	0.381083	0.3110938117857253	22.72626283444242
mp-1009750	-100.113655	-83.09562438949406	1.129883	0.9402470656989685	20.480056243078852
mp-1009792	-10.704574	-8.581741383248898	0.120625	0.0967323043584517	24.736618384874156
